,date,total_graph_big_buy_percentage,total_graph_big_sale_percentage,finance_sector_big_buy_percentage,finance_sector_big_sale_percentage,oil_sector_big_buy_percentage,oil_sector_big_sale_percentage,services_sector_big_buy_percentage,services_sector_big_sale_percentage,software_industry_big_buy_percentage,software_industry_big_sale_percentage,oil_industry_big_buy_percentage,oil_industry_big_sale_percentage,real_estate_industry_big_buy_percentage,real_estate_industry_big_sale_percentage
30,2006-12-31,0.3106380433379612,0.20337926540172457,0.3074074074074074,0.18493265993265992,0.3070143015552586,0.20656222456000684,0.3210221172428602,0.19924844320377927,0.3129406539721312,0.20357519569200022,0.28779405237461164,0.2079005770084332,0.3225997922540436,0.17806796260572785
31,2007-03-31,0.31249448065859237,0.21579234847568055,0.3147153598281418,0.19956597031938447,0.319269036690709,0.20406534196196938,0.3112290959116117,0.22350715790378745,0.30599119936815977,0.23530407311294144,0.28741220961642355,0.21555915721231766,0.3333077807589115,0.19179762361057875
32,2007-06-30,0.3063221864587955,0.2185893065038157,0.308755482235545,0.2089687361686718,0.31368535599543995,0.21370090164783914,0.3115139857993493,0.2128051400626138,0.30281419715837404,0.21827856711832794,0.30676484868101633,0.19016022010033987,0.31416416049292156,0.20266999193134305
33,2007-09-30,0.29193741948286345,0.2417766214458279,0.3042444893151607,0.22659010600706714,0.2813150466197143,0.24955091100909582,0.299725847132361,0.23912709726943743,0.2962128043282236,0.24154643823264202,0.2869881395550169,0.2250887369058956,0.30093324897184437,0.23086048718759886
34,2007-12-31,0.3010406248813156,0.22833297464268082,0.2983567271482369,0.22751198219787744,0.29398957199335357,0.23010370709906605,0.30931516452701224,0.22275774438066862,0.3148358483422576,0.21531721564173292,0.3016356638871071,0.20229313662604234,0.3047611175400893,0.22433460076045628
35,2008-03-31,0.29023750929272735,0.24075533851162553,0.2985902915098552,0.23014607386617336,0.28819662760788795,0.23963989711346098,0.2989244877165176,0.23724668855428507,0.29786638293106343,0.23990591924735397,0.27928416485900215,0.22280756120235512,0.3028102305020524,0.21597726555099464
36,2008-06-30,0.29389189726265585,0.23159682547568186,0.3120229807934245,0.2224901450977103,0.2929530201342282,0.22849552572706935,0.29585152838427947,0.23068353979146244,0.28033663141134996,0.23774593426589333,0.2747130933750652,0.2245696400625978,0.2929817758821249,0.21783637068631254
37,2008-09-30,0.28340501931000633,0.25623861742937964,0.2927662351789405,0.2504731861198738,0.2799498161871973,0.25529555931609965,0.28328205602720397,0.25501399523468044,0.27700172383047017,0.2575046067883255,0.2857040538604784,0.22747457384328892,0.29629333759386484,0.230148586036108
38,2008-12-31,0.28624827731750757,0.2500199847156894,0.2993518099791115,0.24708745181643949,0.28959036278966005,0.24620060790273557,0.2823860668952519,0.24641794772815004,0.2708104673329097,0.2505921090636012,0.2885263079110845,0.22752787964972682,0.30829800121138706,0.2300121138703816
39,2009-03-31,0.27039173121014365,0.25600533732503833,0.28730342275670673,0.25062442183163736,0.2711714108362153,0.25101238509059737,0.27098457888493477,0.25217081850533807,0.26148998156846426,0.25334443189250255,0.2850671785028791,0.2307869481765835,0.30488676996424313,0.22971791815653556
